metric;threshold;numberOfTextPostsWithThisMetric;runtimeTextTotal;truePositivesText;trueNegativesText;falsePositivesText;falseNegativesText;numberOfCodePostsWithThisMetric;runtimeCodeTotal;truePositivesCode;trueNegativesCode;falsePositivesCode;falseNegativesCode
manhattanTokenNormalized;0.6;699;326858300;5448;18754;67;317;699;323875093;4289;13545;43;141
fourGramOverlapNormalizedPadding;0.9;665;482712705;5060;17351;90;385;699;604904693;4214;13537;51;216
cosineFourGramNormalizedTermFrequency;0.5;665;825185961;5266;17352;89;179;699;880107687;4350;13524;64;80
winnowingFourGramDice;0.5;674;213497576;5339;17840;81;217;699;348415519;4352;13530;58;78
cosineFourGramNormalizedBool;0.8;665;814474513;4874;17410;31;571;699;875375778;4205;13551;37;225
winnowingFourGramDiceNormalized;0.5;665;328577200;5201;17372;69;244;699;463266525;4327;13534;54;103
threeGramDiceNormalized;0.5;679;468640804;5405;17949;85;190;699;573127697;4340;13525;63;90
cosineFiveGramNormalizedBool;0.9;658;838640302;4423;17085;14;957;697;914469653;4012;13540;22;410
winnowingFourGramOptimalAlignmentNormalized;0.5;665;734269976;5053;17392;49;392;699;1842144893;4274;13547;41;156
winnowingThreeGramJaccard;0.8;686;256232660;4781;18277;21;871;699;362597243;4100;13564;24;330
twoShingleDiceNormalized;0.9;616;482604866;3855;14480;11;896;692;606482594;3941;13475;18;445
winnowingThreeGramDiceNormalized;0.9;679;345353597;4649;18016;18;946;699;465513346;4044;13566;22;386
winnowingFiveGramJaccard;0.9;665;209426669;4237;17478;15;1216;699;358154579;3880;13574;14;550
winnowingFourGramOptimalAlignment;0.3;674;683967484;5341;17850;71;215;699;3096948428;4344;13530;58;86
threeGramJaccardNormalizedPadding;0.5;679;536770730;5266;17972;62;329;699;620349205;4307;13538;50;123
tokenOverlapNormalized;0.7;670;499734463;5349;17615;143;174;699;587099869;4312;13504;84;118
winnowingThreeGramOverlap;0.4;686;230349763;5484;18105;193;168;699;371781146;4341;13487;101;89
cosineFiveGramNormalizedTermFrequency;0.8;658;844676479;4825;17070;29;555;697;921461667;4226;13521;41;196
twoShingleJaccard;0.9;596;237451199;3294;13655;7;1238;651;280122871;3250;11398;11;683
fiveGramDiceNormalized;0.4;658;475021687;5210;17008;91;170;697;603157881;4340;13499;63;82
threeShingleOverlapNormalized;0.7;538;436334975;3682;10679;81;163;667;591816617;3770;11074;59;187
fourGramDice;0.5;674;382506693;5352;17841;80;204;699;500205680;4345;13527;61;85
damerauLevenshtein;0.7;699;11789185777;5119;18787;34;646;699;21131603246;4191;13557;31;239
winnowingFiveGramOptimalAlignmentNormalized;0.4;658;576740423;5069;17041;58;311;697;1482422093;4287;13512;50;135
winnowingThreeGramJaccardNormalized;0.8;679;361339759;4698;18014;20;897;699;479814839;4069;13562;26;361
twoGramJaccard;0.3;699;354616874;5621;18685;136;144;699;450731989;4359;13508;80;71
manhattanTwoShingleNormalized;0.3;616;557843279;4627;14411;80;124;692;672425497;4309;13433;60;77
winnowingThreeGramDiceNormalized;0.6;679;345238258;5305;17966;68;290;699;468222111;4316;13536;52;114
cosineFiveGramNormalizedNormalizedTermFrequency;0.5;658;848752566;5196;17015;84;184;697;922033859;4340;13503;59;82
threeGramOverlapNormalizedPadding;0.7;679;481576703;5464;17915;119;131;699;580385110;4344;13519;69;86
winnowingThreeGramJaccard;0.4;686;240934552;5403;18224;74;249;699;365938000;4344;13531;57;86
optimalAlignment;0.7;699;8842566087;5119;18787;34;646;699;15924086240;4191;13557;31;239
winnowingFiveGramOptimalAlignmentNormalized;0.5;658;577956332;4977;17050;49;403;697;1483425028;4265;13519;43;157
fiveGramOverlapNormalized;0.5;658;475185721;5248;16959;140;132;697;603190359;4309;13466;96;113
threeShingleJaccard;0.7;527;217726647;2977;10030;11;663;615;297866346;3156;10166;15;466
winnowingFiveGramJaccard;0.8;665;212277482;4538;17475;18;915;699;359807009;4050;13565;23;380
twoShingleJaccard;0.5;596;240100398;4123;13625;37;409;651;283762744;3672;11378;31;261
winnowingTwoGramOptimalAlignmentNormalized;0.6;697;1665107354;5261;18774;44;501;699;3505663104;4253;13554;34;177
winnowingTwoGramOverlap;0.4;699;244555107;5573;18593;228;192;699;357379689;4312;13462;126;118
winnowingTwoGramOverlapNormalized;0.4;697;371080006;5571;18590;228;191;699;477579887;4302;13457;131;128
winnowingFiveGramDiceNormalized;0.5;658;325235481;5113;17031;68;267;697;455602009;4316;13507;55;106
winnowingFourGramLongestCommonSubsequence;0.6;674;511278084;5063;17879;42;493;699;2252323477;4249;13552;36;181
winnowingFourGramLongestCommonSubsequence;0.7;674;513416427;4880;17893;28;676;699;2267678636;4174;13561;27;256
winnowingTwoGramOptimalAlignmentNormalized;0.7;697;1665918153;5077;18786;32;685;699;3505032801;4190;13557;31;240
threeShingleOverlapNormalized;0.8;538;441424427;3624;10680;80;221;667;587874358;3720;11076;57;237
winnowingThreeGramOptimalAlignment;0.3;686;1029628587;5435;18224;74;217;699;3686034554;4342;13531;57;88
twoShingleDice;0.8;596;227811917;3883;13639;23;649;651;271584994;3549;11387;22;384
winnowingTwoGramJaccard;0.5;699;251761920;5492;18748;73;273;699;371805223;4339;13532;56;91
manhattanTokenNormalized;0.3;699;328890795;5623;18705;116;142;699;328386288;4359;13527;61;71
tokenDice;0.4;699;123946538;5582;18719;102;183;699;161850113;4318;13529;59;112
twoGramOverlapNormalizedPadding;0.5;697;446597074;5650;18634;184;112;699;537882936;4341;13486;102;89
damerauLevenshteinNormalized;0.5;699;11794390004;5422;18753;68;343;699;17713398729;4301;13536;52;129
winnowingTwoGramOverlapNormalized;0.9;697;364327784;5436;18644;174;326;699;475633586;4253;13509;79;177
winnowingTwoGramLongestCommonSubsequenceNormalized;0.8;697;1168372553;4882;18793;25;880;699;3014057200;4109;13567;21;321
winnowingThreeGramLongestCommonSubsequenceNormalized;0.5;679;755184741;5225;17980;54;370;699;2015426757;4290;13541;47;140
cosineTokenNormalizedTermFrequency;0.5;699;334834299;5598;18711;110;167;699;329972019;4342;13524;64;88
cosineTwoShingleNormalizedBool;0.4;616;563967345;4625;14409;82;126;692;674707796;4303;13435;58;83
winnowingFourGramLongestCommonSubsequenceNormalized;0.6;665;585817919;4929;17408;33;516;699;1358554723;4250;13549;39;180
longestCommonSubsequenceNormalized;0.3;699;5282903673;5555;18671;150;210;699;8300346845;4338;13511;77;92
winnowingFourGramJaccard;0.4;674;223566530;5281;17849;72;275;699;361418951;4340;13537;51;90
threeShingleJaccardNormalized;0.7;538;445469233;3254;10750;10;591;667;598268707;3606;11113;20;351
winnowingFourGramOverlap;0.5;674;219979425;5406;17762;159;150;699;353475821;4342;13500;88;88
twoGramJaccardNormalized;0.5;697;463604422;5506;18743;75;256;699;554160167;4333;13530;58;97
manhattanTwoGramNormalized;0.5;697;618722707;5545;18725;93;217;699;675427825;4345;13527;61;85
winnowingThreeGramOptimalAlignment;0.7;686;1029920941;4973;18269;29;679;699;3680277296;4163;13560;28;267
manhattanFourGramNormalized;0.4;665;798402754;5278;17351;90;167;699;865325020;4347;13527;61;83
fiveGramOverlap;0.8;665;390049603;5207;17366;127;246;699;512105425;4283;13521;67;147
winnowingThreeGramLongestCommonSubsequence;0.7;686;738191982;4993;18269;29;659;699;3002887479;4183;13559;29;247
threeGramJaccardNormalizedPadding;0.6;679;534474178;5135;17990;44;460;699;622686753;4258;13548;40;172
fiveGramOverlapNormalizedPadding;0.8;658;487265596;5117;16996;103;263;697;615271760;4281;13506;56;141
threeShingleJaccard;0.9;527;217967498;2525;10038;3;1115;615;295107776;2932;10174;7;690
threeGramDiceNormalizedPadding;0.8;679;480228019;5033;18000;34;562;699;581545454;4220;13550;38;210
twoShingleJaccardNormalized;0.6;616;497827429;4282;14455;36;469;692;638561992;4141;13457;36;245
winnowingFiveGramOverlapNormalized;0.6;658;332325300;5197;16971;128;183;697;457536572;4306;13484;78;116
cosineTwoGramNormalizedBool;0.5;697;636447387;5635;18692;126;127;699;691180658;4358;13510;78;72
fiveGramJaccard;0.4;665;454455706;5165;17430;63;288;699;575891710;4325;13538;50;105
winnowingThreeGramLongestCommonSubsequenceNormalized;0.3;679;758464633;5389;17955;79;206;699;2030370822;4342;13532;56;88
threeShingleDice;0.5;527;209238758;3413;10001;40;227;615;289167743;3412;10149;32;210
winnowingTwoGramDice;0.3;699;240144325;5638;18669;152;127;699;358778843;4359;13496;92;71
cosineTwoShingleNormalizedNormalizedTermFrequency;0.8;616;563738591;4227;14461;30;524;692;674554164;4118;13459;34;268
fourGramJaccard;0.7;674;456788741;4899;17895;26;657;699;545507532;4184;13556;32;246
winnowingFourGramJaccardNormalized;0.9;665;337815101;4228;17428;13;1217;699;556013508;3905;13572;16;525
threeShingleOverlap;0.6;527;211018576;3460;9982;59;180;615;294808911;3405;10144;37;217
winnowingThreeGramDice;0.6;686;241177625;5385;18227;71;267;699;355675267;4338;13535;53;92
winnowingTwoGramDice;0.7;699;236837426;5457;18753;68;308;699;351712192;4326;13538;50;104
cosineTokenNormalizedNormalizedTermFrequency;0.9;699;328198443;4899;18800;21;866;699;324022629;4024;13573;15;406
winnowingThreeGramOverlapNormalized;0.8;679;348496549;5354;17898;136;241;699;472561805;4279;13507;81;151
winnowingTwoGramOverlapNormalized;0.3;697;370910775;5571;18582;236;191;699;481593839;4299;13454;134;131
winnowingFiveGramOverlap;0.3;665;205762541;5324;17337;156;129;699;355043709;4337;13486;102;93
twoShingleOverlap;0.7;596;238038328;4282;13584;78;250;651;274131991;3712;11366;43;221
twoShingleJaccardNormalized;0.9;616;497752431;3643;14483;8;1108;692;619639836;3817;13478;15;569
cosineTwoShingleNormalizedBool;0.6;616;562742757;4495;14425;66;256;692;673607006;4247;13445;48;139
winnowingTwoGramLongestCommonSubsequence;0.8;699;1305239821;4874;18795;26;891;699;3827367196;4102;13565;23;328
fiveGramJaccardNormalized;0.3;658;537654969;5179;17019;80;201;697;650259728;4331;13505;57;91
cosineThreeGramNormalizedBool;0.9;679;791605806;4724;18015;19;871;699;809098890;4077;13564;24;353
manhattanThreeGramNormalized;0.5;679;765940898;5372;17958;76;223;699;805011646;4337;13531;57;93
fiveGramOverlapNormalizedPadding;0.4;658;491899700;5281;16975;124;99;697;617963453;4346;13482;80;76
cosineFourGramNormalizedTermFrequency;0.9;665;820526936;4614;17424;17;831;699;885371114;4142;13553;35;288
winnowingFiveGramOptimalAlignmentNormalized;0.3;658;580180937;5143;17031;68;237;697;1481110031;4317;13507;55;105
winnowingFiveGramLongestCommonSubsequence;0.3;665;403413498;5234;17419;74;219;699;1722504042;4343;13528;60;87
winnowingThreeGramOverlap;0.6;686;227969714;5473;18129;169;179;699;358395853;4348;13506;82;82
fourGramDiceNormalizedPadding;0.9;665;482300503;4488;17428;13;957;699;594925402;4036;13566;22;394
winnowingThreeGramOptimalAlignment;0.4;686;1055996470;5374;18234;64;278;699;3694828098;4321;13539;49;109
winnowingFiveGramOverlap;0.8;665;206944450;5200;17364;129;253;699;353271705;4256;13516;72;174
winnowingTwoGramDice;0.9;699;234672312;4952;18796;25;813;699;351407899;4130;13562;26;300
twoShingleJaccardNormalized;0.7;617;503108310;4141;14469;22;610;692;623407529;4076;13466;27;310
threeGramOverlap;0.5;686;368715281;5520;18127;171;132;699;472385430;4337;13489;99;93
winnowingFourGramJaccardNormalized;0.5;665;339861704;5043;17391;50;402;699;469228935;4278;13544;44;152
fiveGramJaccard;0.7;665;451780930;4766;17471;22;687;699;567961883;4165;13558;30;265
cosineFiveGramNormalizedTermFrequency;0.6;658;844102050;5110;17029;70;270;697;925229210;4326;13510;52;96
twoShingleJaccard;0.4;596;240032606;4222;13615;47;310;651;286478209;3731;11374;35;202
winnowingFourGramLongestCommonSubsequenceNormalized;0.4;665;585398854;5161;17377;64;284;699;1365111893;4312;13536;52;118
twoGramJaccardNormalizedPadding;0.8;697;469770172;5030;18790;28;732;699;559806779;4166;13556;32;264
winnowingTwoGramOptimalAlignment;0.6;699;1964866895;5259;18775;46;506;699;5630581660;4246;13556;32;184
fiveGramDice;0.7;665;385527967;5018;17446;47;435;699;509494680;4270;13545;43;160
threeGramJaccardNormalized;0.5;679;522891367;5274;17973;61;321;699;612769923;4304;13537;51;126
optimalAlignmentNormalized;0.5;699;8886399204;5422;18753;68;343;699;10958105295;4301;13536;52;129
cosineThreeShingleNormalizedNormalizedTermFrequency;0.7;538;508067124;3493;10727;33;352;667;662147147;3745;11100;33;212
cosineTwoGramNormalizedTermFrequency;0.7;697;632845654;5543;18720;98;219;699;685211424;4344;13525;63;86
winnowingFiveGramOptimalAlignmentNormalized;0.8;658;578225502;4462;17082;17;918;697;1474182097;4034;13539;23;388
manhattanFiveGramNormalized;0.3;658;833709411;5247;16999;100;133;697;905610961;4350;13498;64;72
winnowingFourGramJaccard;0.8;674;221162153;4655;17899;22;901;699;358068296;4071;13565;23;359
winnowingThreeGramOptimalAlignmentNormalized;0.3;679;958058394;5382;17960;74;213;699;2501207714;4331;13533;55;99
winnowingThreeGramOptimalAlignmentNormalized;0.9;679;954195109;4430;18018;16;1165;699;2497683928;3920;13571;17;510
winnowingFiveGramJaccard;0.7;665;214456622;4760;17469;24;693;699;362092280;4146;13557;31;284
fourGramJaccardNormalized;0.5;665;526439650;5082;17386;55;363;699;637456087;4295;13543;45;135
winnowingFiveGramJaccardNormalized;0.3;658;335873457;5141;17029;70;239;697;469044440;4322;13507;55;100
cosineTwoGramNormalizedNormalizedTermFrequency;0.3;697;638290347;5643;18648;170;119;699;688711579;4343;13484;104;87
manhattanFourGramNormalized;0.9;665;797494612;4468;17427;14;977;699;866365918;4023;13569;19;407
threeShingleOverlap;0.8;527;209414940;3312;9982;59;328;615;296009364;3279;10148;33;343
fourGramDiceNormalizedPadding;0.6;665;494591296;5151;17376;65;294;699;601695722;4322;13538;50;108
twoShingleDice;0.5;596;228295430;4284;13601;61;248;651;274185110;3764;11368;41;169
winnowingFiveGramOverlap;0.5;665;205194510;5305;17351;142;148;699;362446893;4334;13497;91;96
fourGramOverlapNormalizedPadding;0.5;665;486045187;5338;17315;126;107;699;601145650;4347;13507;81;83
manhattanThreeShingleNormalized;0.8;538;514643023;3317;10744;16;528;667;653948920;3637;11111;22;320
winnowingTwoGramJaccard;0.9;699;250436187;4679;18799;22;1086;699;364877944;4008;13569;19;422
cosineFourGramNormalizedNormalizedTermFrequency;0.4;665;830459465;5329;17337;104;116;699;881364636;4361;13520;68;69
cosineFourGramNormalizedTermFrequency;0.7;665;835790263;5085;17382;59;360;699;877484258;4302;13535;53;128
fiveGramOverlap;0.4;665;388665153;5336;17348;145;117;699;517195625;4338;13494;94;92
fiveGramOverlap;0.3;665;387718270;5344;17338;155;109;699;514981524;4335;13486;102;95
winnowingFourGramLongestCommonSubsequence;0.4;674;513299623;5280;17854;67;276;699;2250408590;4324;13534;54;106
threeGramDiceNormalized;0.9;679;466739277;4713;18015;19;882;699;567758639;4072;13564;24;358
tokenOverlap;0.9;699;123723505;5214;18721;100;551;699;160224633;4090;13545;43;340
winnowingFiveGramDice;0.9;665;201138958;4488;17477;16;965;699;349158052;4026;13569;19;404
winnowingFiveGramJaccardNormalized;0.4;658;333795592;5047;17038;61;333;697;468709559;4299;13513;49;123
threeShingleOverlap;0.5;527;210771853;3511;9973;68;129;615;294305416;3453;10142;39;169
twoGramDiceNormalizedPadding;0.5;697;438560427;5613;18698;120;149;699;532392524;4350;13511;77;80
winnowingThreeGramOverlapNormalized;0.5;679;349434486;5445;17881;153;150;699;472232934;4313;13487;101;117
twoShingleOverlapNormalized;0.9;616;486539821;4408;14387;104;343;692;610033542;4089;13429;64;297
manhattanTwoShingleNormalized;0.4;616;556784107;4591;14411;80;160;692;671565310;4293;13439;54;93
twoShingleOverlapNormalized;0.4;616;487938445;4644;14378;113;107;692;607971760;4283;13406;87;103
threeShingleDice;0.8;527;208028452;3042;10025;16;598;616;288659406;3186;10163;18;436
fiveGramJaccardNormalizedPadding;0.4;658;550847457;5085;17034;65;295;697;666389482;4314;13514;48;108
twoGramOverlap;0.6;699;318313635;5595;18614;207;170;699;422804541;4329;13481;107;101
winnowingTwoGramOverlap;0.3;699;245203037;5572;18583;238;193;699;367908403;4305;13454;134;125
winnowingFiveGramOptimalAlignmentNormalized;0.7;658;575470872;4653;17077;22;727;697;1475825826;4138;13531;31;284
winnowingTwoGramOverlap;0.7;699;242343501;5564;18629;192;201;699;360014122;4323;13494;94;107
cosineTokenNormalizedTermFrequency;0.6;699;330015594;5545;18728;93;220;699;328680566;4325;13533;55;105
twoGramDiceNormalized;0.6;697;427679692;5554;18728;90;208;699;527027085;4340;13522;66;90
twoGramJaccardNormalized;0.6;697;466842649;5407;18752;66;355;699;555360020;4306;13542;46;124
manhattanTwoGramNormalized;0.3;697;623493388;5611;18670;148;151;699;673343614;4349;13504;84;81
fiveGramDiceNormalizedPadding;0.8;658;486349789;4735;17076;23;645;697;612926251;4175;13528;34;247
threeGramJaccard;0.3;686;421197678;5489;18200;98;163;699;516839319;4353;13520;68;77
cosineTokenNormalizedNormalizedTermFrequency;0.3;699;337112773;5661;18686;135;104;699;329977696;4367;13521;67;63
threeGramJaccard;0.8;686;420263925;4824;18276;22;828;699;517348985;4110;13563;25;320
winnowingTwoGramDice;0.5;699;240314967;5599;18708;113;166;699;357092969;4365;13519;69;65
twoShingleJaccard;0.8;596;238864967;3590;13651;11;942;651;284255983;3397;11394;15;536
cosineTokenNormalizedBool;0.7;699;329872634;5389;18759;62;376;699;327277824;4256;13544;44;174
winnowingThreeGramJaccardNormalized;0.6;679;361380845;5107;17994;40;488;699;478291334;4252;13549;39;178
fourGramJaccardNormalized;0.4;665;529784693;5179;17374;67;266;699;640029020;4324;13535;53;106
cosineTokenNormalizedNormalizedTermFrequency;0.6;699;331645822;5530;18730;91;235;699;326960238;4324;13541;47;106
winnowingFourGramDiceNormalized;0.8;665;329334179;4794;17415;26;651;699;478147132;4173;13553;35;257
cosineFourGramNormalizedBool;0.4;665;818286917;5320;17341;100;125;699;901031993;4365;13523;65;65
threeGramOverlapNormalized;0.5;679;470474446;5461;17874;160;134;699;573533542;4317;13480;108;113
manhattanTwoShingleNormalized;0.9;616;558911535;3843;14479;12;908;692;671997120;3928;13474;19;458
cosineTwoGramNormalizedNormalizedTermFrequency;0.7;697;634885806;5539;18731;87;223;699;686231400;4338;13526;62;92
winnowingFiveGramDiceNormalized;0.4;658;323318392;5183;17014;85;197;697;458471234;4329;13503;59;93
cosineTwoGramNormalizedBool;0.4;697;637553703;5648;18670;148;114;699;684016094;4357;13502;86;73
winnowingFiveGramJaccard;0.3;665;217352024;5241;17414;79;212;699;363012679;4343;13526;62;87
threeShingleDice;0.4;527;209019446;3461;9984;57;179;615;290467996;3444;10148;33;178
fiveGramOverlapNormalized;0.8;658;477783468;5128;16974;125;252;697;599231671;4251;13486;76;171
winnowingFiveGramOptimalAlignment;0.4;665;512795558;5157;17433;60;296;699;3053567557;4302;13539;49;128
twoShingleDiceNormalized;0.8;616;481484893;4206;14463;28;545;692;606691293;4108;13464;29;278
winnowingFourGramOptimalAlignment;0.6;674;683479098;5040;17880;41;516;699;3079845478;4233;13555;33;197
fiveGramDiceNormalized;0.3;658;477637720;5253;16996;103;127;697;601151555;4355;13495;67;67
manhattanFourGramNormalized;0.6;665;801343547;5139;17382;59;306;699;859096337;4312;13540;48;118
threeGramOverlapNormalized;0.6;679;472430293;5444;17883;151;151;699;573039911;4317;13491;97;113
cosineThreeGramNormalizedBool;0.8;679;793227755;5080;17998;36;515;699;814282200;4230;13549;39;200
threeShingleDice;0.7;527;207724589;3198;10019;22;442;615;290249936;3297;10162;19;325
fourGramDice;0.7;674;378815560;5152;17869;52;404;699;495590389;4290;13545;43;140
cosineTwoShingleNormalizedNormalizedTermFrequency;0.6;616;563562045;4501;14424;67;250;692;691823593;4249;13444;49;137
winnowingTwoGramOverlap;0.8;699;243015056;5544;18640;181;221;699;358156867;4309;13503;85;121
winnowingFourGramOptimalAlignmentNormalized;0.6;665;733451692;4910;17408;33;535;699;1851527372;4231;13553;35;199
cosineTwoGramNormalizedBool;0.9;697;633040990;5009;18792;26;753;699;678771187;4152;13557;31;278
fiveGramDice;0.5;665;388502777;5236;17421;72;217;699;511905724;4342;13532;56;88
winnowingFourGramOptimalAlignmentNormalized;0.7;665;732778032;4731;17416;25;714;699;1842776711;4161;13558;30;269
winnowingThreeGramDiceNormalized;0.4;679;350425982;5438;17936;98;157;699;472306292;4349;13523;65;81
tokenJaccardNormalized;0.8;670;560208103;4669;17741;17;854;699;630015758;4075;13563;25;355
winnowingFourGramOptimalAlignment;0.8;674;684554117;4649;17900;21;907;699;3071386173;4049;13567;21;381
fiveGramDiceNormalizedPadding;0.3;658;495097691;5261;16996;103;119;697;613561856;4358;13495;67;64
cosineFourGramNormalizedNormalizedTermFrequency;0.6;665;825459624;5202;17368;73;243;699;879665580;4330;13534;54;100
tokenOverlapNormalized;0.5;670;501296854;5391;17607;151;132;699;583708260;4324;13491;97;106
twoGramJaccardNormalizedPadding;0.7;697;467913597;5248;18774;44;514;699;556083999;4253;13549;39;177
tokenDice;0.9;699;121151632;4734;18800;21;1031;699;157944901;3949;13575;13;481
cosineFiveGramNormalizedNormalizedTermFrequency;0.8;658;841556629;4803;17070;29;577;697;918855475;4205;13523;39;217
fourGramOverlapNormalized;0.6;665;476560271;5302;17304;137;143;699;592567338;4314;13495;93;116
twoGramDiceNormalized;0.9;697;427832052;4994;18792;26;768;699;525605572;4148;13557;31;282
tokenJaccard;0.9;699;131316771;4418;18804;17;1347;699;167517111;3812;13575;13;618
fiveGramOverlapNormalized;0.3;658;479965937;5270;16946;153;110;697;610602291;4309;13451;111;113
fourGramOverlapNormalized;0.8;665;475238428;5216;17311;130;229;699;592037149;4278;13508;80;152
cosineTwoGramNormalizedBool;0.7;697;633166511;5502;18746;72;260;699;680784678;4331;13534;54;99
longestCommonSubsequence;0.8;699;5161988559;4925;18796;25;840;699;11693438005;4114;13564;24;316
cosineThreeShingleNormalizedNormalizedTermFrequency;0.6;538;505944147;3604;10714;46;241;667;660049490;3793;11095;38;164
threeGramJaccard;0.5;686;425288242;5341;18235;63;311;699;515460367;4318;13539;49;112
twoShingleDice;0.7;596;228271009;4056;13630;32;476;651;273148438;3644;11383;26;289
winnowingThreeGramDiceNormalized;0.8;679;344676999;5001;17999;35;594;699;471541596;4210;13553;35;220
tokenJaccardNormalized;0.9;670;560104875;4366;17747;11;1157;699;631809107;3914;13572;16;516
fiveGramJaccardNormalizedPadding;0.7;658;552840545;4670;17078;21;710;697;662174201;4145;13532;30;277
winnowingFiveGramOptimalAlignment;0.3;665;514370852;5228;17423;70;225;699;3066451527;4338;13533;55;92
winnowingFiveGramOptimalAlignmentNormalized;0.9;658;575827698;4187;17085;14;1193;697;1487710057;3884;13544;18;538
longestCommonSubsequenceNormalized;0.4;699;5283805118;5524;18722;99;241;699;8327238173;4337;13527;61;93
fourGramDiceNormalized;0.8;665;470780174;4847;17413;28;598;699;587404234;4196;13551;37;234
tokenJaccard;0.8;699;132121268;4793;18798;23;972;699;165661595;3973;13574;14;457
cosineThreeGramNormalizedNormalizedTermFrequency;0.9;679;786954919;4784;18014;20;811;699;816108302;4123;13559;29;307
threeGramOverlap;0.8;686;371417319;5450;18153;145;202;699;471730149;4308;13514;74;122
winnowingTwoGramOverlapNormalized;0.6;697;364720167;5567;18616;202;195;699;476540881;4314;13480;108;116
cosineTokenNormalizedTermFrequency;0.9;699;327655659;5007;18787;34;758;699;323757472;4091;13565;23;339
